ensembl_gene_symbol	ensembl_gene_id	hgnc_id	ncbi_gene_id
ITPKB	ENSG00000143772.11	HGNC:6179	3707
JAG1	ENSG00000101384.12	HGNC:6188	182
JMJD4	ENSG00000081692.13	HGNC:25724	65094
KANSL1	ENSG00000120071.15	HGNC:24565	284058
KAT6B	ENSG00000156650.14	HGNC:17582	23522
KAT7	ENSG00000136504.13	HGNC:17016	11143
KBTBD4	ENSG00000123444.14	HGNC:23761	55709
KCNJ5	ENSG00000120457.12	HGNC:6266	3762
KDM5D	ENSG00000012817.16	HGNC:11115	8284
KDSR	ENSG00000119537.18	HGNC:4021	2531
KLF2	ENSG00000127528.6	HGNC:6347	10365
KLF3	ENSG00000109787.13	HGNC:16516	51274
KMT5A	ENSG00000183955.14	HGNC:29489	387893
KNL1	ENSG00000137812.21	HGNC:24054	57082
KNSTRN	ENSG00000128944.14	HGNC:30767	90417
KPNB1	ENSG00000108424.11	HGNC:6400	3837
KRT5	ENSG00000186081.12	HGNC:6442	3852
KRTAP5-5	ENSG00000185940.10	HGNC:23601	439915
KSR2	ENSG00000171435.14	HGNC:18610	283455
LARP4B	ENSG00000107929.16	HGNC:28987	23185
LCP1	ENSG00000136167.15	HGNC:6528	3936
LDB1	ENSG00000198728.11	HGNC:6532	8861
LEPROTL1	ENSG00000104660.19	HGNC:6555	23484
LGR5	ENSG00000139292.13	HGNC:4504	8549
LHFPL6	ENSG00000183722.9	HGNC:6586	10186
LIN28B	ENSG00000187772.8	HGNC:32207	389421
LINC00290	ENSG00000248197.1	HGNC:38515	728081
LINC01001	ENSG00000230724.9	HGNC:38540	100133161
LMBRD2	ENSG00000164187.7	HGNC:25287	92255
LPAR1	ENSG00000198121.15	HGNC:3166	1902
LRP5	ENSG00000162337.12	HGNC:6697	4041
LRP6	ENSG00000070018.9	HGNC:6698	4040
LRRN3	ENSG00000173114.13	HGNC:17200	54674
LSAMP	ENSG00000185565.12	HGNC:6705	4045
LTB	ENSG00000227507.3	HGNC:6711	4050
LTK	ENSG00000062524.16	HGNC:6721	4058
MACC1	ENSG00000183742.13	HGNC:30215	346389
MACF1	ENSG00000127603.32	HGNC:13664	23499
MACROD2	ENSG00000172264.18	HGNC:16126	140733
MAL2	ENSG00000147676.14	HGNC:13634	114569
MALAT1	ENSG00000251562.9	HGNC:29665	378938
MAP2K7	ENSG00000076984.18	HGNC:6847	5609
MAP3K21	ENSG00000143674.11	HGNC:29798	84451
MAP3K6	ENSG00000142733.17	HGNC:6858	9064
MAP3K7	ENSG00000135341.18	HGNC:6859	6885
MAP4K4	ENSG00000071054.17	HGNC:6866	9448
MAPKAP1	ENSG00000119487.17	HGNC:18752	79109
MARK2	ENSG00000072518.22	HGNC:3332	2011
MB21D2	ENSG00000180611.7	HGNC:30438	151963
MBD6	ENSG00000166987.15	HGNC:20445	114785
MCM5	ENSG00000100297.16	HGNC:6948	4174
MDS2	ENSG00000197880.10	HGNC:29633	259283
MED23	ENSG00000112282.18	HGNC:2372	9439
MEF2C	ENSG00000081189.16	HGNC:6996	4208
MEGF6	ENSG00000162591.16	HGNC:3232	1953
MEIS1	ENSG00000143995.20	HGNC:7000	4211
MERTK	ENSG00000153208.18	HGNC:7027	10461
MGAM	ENSG00000257335.8	HGNC:7043	8972
MGMT	ENSG00000170430.10	HGNC:7059	4255
MIDEAS	ENSG00000156030.14	HGNC:19853	91748
MIPOL1	ENSG00000151338.19	HGNC:21460	145282
MKI67	ENSG00000148773.14	HGNC:7107	4288
MMP2	ENSG00000087245.13	HGNC:7166	4313
MMP9	ENSG00000100985.7	HGNC:7176	4318
MOB3B	ENSG00000120162.10	HGNC:23825	79817
MPEG1	ENSG00000197629.6	HGNC:29619	219972
MS4A1	ENSG00000156738.18	HGNC:7315	931
MSI1	ENSG00000135097.7	HGNC:7330	4440
MSI2	ENSG00000153944.12	HGNC:18585	124540
MTCP1	ENSG00000214827.11	HGNC:7423	4515
MTHFR	ENSG00000177000.13	HGNC:7436	4524
MUC16	ENSG00000181143.15	HGNC:15582	94025
MUC17	ENSG00000169876.14	HGNC:16800	140453
MUC2	ENSG00000198788.9	HGNC:7512	4583
MUC4	ENSG00000145113.22	HGNC:7514	4585
MUC6	ENSG00000184956.16	HGNC:7517	4588
MYBL1	ENSG00000185697.17	HGNC:7547	4603
MYBL2	ENSG00000101057.16	HGNC:7548	4605
MYEOV	ENSG00000172927.9	HGNC:7563	26579
MYH9	ENSG00000100345.23	HGNC:7579	4627
N4BP2	ENSG00000078177.14	HGNC:29851	55728
NAALADL2	ENSG00000177694.16	HGNC:23219	254827
NACA	ENSG00000196531.14	HGNC:7629	4666
NADK	ENSG00000008130.15	HGNC:29831	65220
NBEA	ENSG00000172915.20	HGNC:7648	26960
NCAPG	ENSG00000109805.10	HGNC:24304	64151
NCSTN	ENSG00000162736.17	HGNC:17091	23385
NFE2	ENSG00000123405.14	HGNC:7780	4778
NFKB1	ENSG00000109320.13	HGNC:7794	4790
NIPBL	ENSG00000164190.19	HGNC:28862	25836
NR1H4	ENSG00000012504.15	HGNC:7967	9971
NR3C1	ENSG00000113580.15	HGNC:7978	2908
NR4A1	ENSG00000123358.20	HGNC:7980	3164
NRIP1	ENSG00000180530.11	HGNC:8001	8204
NT5E	ENSG00000135318.12	HGNC:8021	4907
NUF2	ENSG00000143228.13	HGNC:14621	83540
NUMA1	ENSG00000137497.19	HGNC:8059	4926
NUMB	ENSG00000133961.21	HGNC:8060	8650
NUP133	ENSG00000069248.12	HGNC:18016	55746
NXF1	ENSG00000162231.14	HGNC:8071	10482
OLIG2	ENSG00000205927.5	HGNC:9398	10215
ONECUT2	ENSG00000119547.6	HGNC:8139	9480
OPCML	ENSG00000183715.14	HGNC:8143	4978
OR11H1	ENSG00000130538.6	HGNC:15404	81061
OR4F21	ENSG00000176269.4	HGNC:19583	441308
OR4N2	ENSG00000176294.6	HGNC:14742	390429
PABPC1	ENSG00000070756.17	HGNC:8554	26986
PAFAH1B2	ENSG00000168092.14	HGNC:8575	5049
PARD3	ENSG00000148498.16	HGNC:16051	56288
PARD3B	ENSG00000116117.19	HGNC:14446	117583
PARD6G	ENSG00000178184.16	HGNC:16076	84552
PCNA	ENSG00000132646.11	HGNC:8729	5111
PDCD4	ENSG00000150593.18	HGNC:8763	27250
PDE4D	ENSG00000113448.20	HGNC:8783	5144
PDYN	ENSG00000101327.9	HGNC:8820	5173
PEG3	ENSG00000198300.14	HGNC:8826	5178
PER1	ENSG00000179094.16	HGNC:8845	5187
PER3	ENSG00000049246.15	HGNC:8847	8863
PGBD5	ENSG00000177614.11	HGNC:19405	79605
PHF19	ENSG00000119403.15	HGNC:24566	26147
PHLPP1	ENSG00000081913.14	HGNC:20610	23239
PHLPP2	ENSG00000040199.18	HGNC:29149	23035
PIK3R4	ENSG00000196455.8	HGNC:8982	30849
PIK3R5	ENSG00000141506.15	HGNC:30035	23533
PKHD1	ENSG00000170927.15	HGNC:9016	5314
PLCB4	ENSG00000101333.19	HGNC:9059	5332
PLCH2	ENSG00000149527.18	HGNC:29037	9651
PLK1	ENSG00000166851.15	HGNC:9077	5347
PLXNB2	ENSG00000196576.16	HGNC:9104	23654
POLG	ENSG00000140521.17	HGNC:9179	5428
POU2AF1	ENSG00000110777.12	HGNC:9211	5450
POU2F2	ENSG00000028277.22	HGNC:9213	5452
POU3F2	ENSG00000184486.10	HGNC:9215	5454
POU3F4	ENSG00000196767.9	HGNC:9217	5456
PPP1R15A	ENSG00000087074.8	HGNC:14375	23645
PPP2R3B	ENSG00000167393.18	HGNC:13417	28227
PPP4R2	ENSG00000163605.15	HGNC:18296	151987
PRDM14	ENSG00000147596.4	HGNC:14001	63978
PRDM2	ENSG00000116731.23	HGNC:9347	7799
PRKCB	ENSG00000166501.14	HGNC:9395	5579
PRKCD	ENSG00000163932.15	HGNC:9399	5580
PRKD1	ENSG00000184304.17	HGNC:9407	5587
PRKD2	ENSG00000105287.13	HGNC:17293	25865
PRLR	ENSG00000113494.17	HGNC:9446	5618
PROM1	ENSG00000007062.12	HGNC:9454	8842
PRPF40B	ENSG00000110844.14	HGNC:25031	25766
PRPF8	ENSG00000174231.17	HGNC:17340	10594
PRRX1	ENSG00000116132.12	HGNC:9142	5396
PSMB2	ENSG00000126067.12	HGNC:9539	5690
PTGS2	ENSG00000073756.13	HGNC:9605	5743
PTK2	ENSG00000169398.19	HGNC:9611	5747
PTK6	ENSG00000101213.7	HGNC:9617	5753
PTMA	ENSG00000187514.17	HGNC:9623	5757
PTP4A1	ENSG00000112245.13	HGNC:9634	7803
PTPA	ENSG00000119383.21	HGNC:9308	5524
PTPN1	ENSG00000196396.10	HGNC:9642	5770
PTPN14	ENSG00000152104.12	HGNC:9647	5784
PTPN2	ENSG00000175354.20	HGNC:9650	5771
PTPN6	ENSG00000111679.17	HGNC:9658	5777
PTPRB	ENSG00000127329.16	HGNC:9665	5787
PTPRC	ENSG00000081237.20	HGNC:9666	5788
PTPRN2	ENSG00000155093.19	HGNC:9677	5799
PTPRU	ENSG00000060656.20	HGNC:9683	10076
PTTG1	ENSG00000164611.13	HGNC:9690	9232
PUDP	ENSG00000130021.15	HGNC:16818	8226
PUM1	ENSG00000134644.16	HGNC:14957	9698
RABAC1	ENSG00000105404.11	HGNC:9794	10567
RAC2	ENSG00000128340.15	HGNC:9802	5880
RACGAP1	ENSG00000161800.13	HGNC:9804	29127
RAD17	ENSG00000152942.19	HGNC:9807	5884
RAD23B	ENSG00000119318.13	HGNC:9813	5887
RALGDS	ENSG00000160271.16	HGNC:9842	5900
RAPGEF1	ENSG00000107263.19	HGNC:4568	2889
RASA2	ENSG00000155903.14	HGNC:9872	5922
RASGRF1	ENSG00000058335.16	HGNC:9875	5923
RASGRF2	ENSG00000113319.13	HGNC:9876	5924
RB1CC1	ENSG00000023287.13	HGNC:15574	9821
RBBP6	ENSG00000122257.20	HGNC:9889	5930
RBM39	ENSG00000131051.24	HGNC:15923	9584
RELA	ENSG00000173039.20	HGNC:9955	5970
RELN	ENSG00000189056.15	HGNC:9957	5649
REV3L	ENSG00000009413.16	HGNC:9968	5980
RGPD3	ENSG00000153165.19	HGNC:32416	653489
RGS7	ENSG00000182901.18	HGNC:10003	6000
RHOB	ENSG00000143878.10	HGNC:668	388
RHOH	ENSG00000168421.13	HGNC:686	399
RHPN2	ENSG00000131941.8	HGNC:19974	85415
RIPK1	ENSG00000137275.16	HGNC:10019	8737
RMI2	ENSG00000175643.10	HGNC:28349	116028
RNASEH2A	ENSG00000104889.7	HGNC:18518	10535
RNASEH2B	ENSG00000136104.21	HGNC:25671	79621
RNF111	ENSG00000157450.16	HGNC:17384	54778
RNF213	ENSG00000173821.20	HGNC:14539	57674
ROBO1	ENSG00000169855.21	HGNC:10249	6091
ROBO2	ENSG00000185008.17	HGNC:10250	6092
ROCK2	ENSG00000134318.15	HGNC:10252	9475
RPL10	ENSG00000147403.18	HGNC:10298	6134
RPL22	ENSG00000116251.11	HGNC:10315	6146
RPS6KA3	ENSG00000177189.14	HGNC:10432	6197
RRAGC	ENSG00000116954.8	HGNC:19902	64121
