gene	reportMissense	reportNonsense	reportSplice	reportDeletion	reportDisruption	reportAmplification	reportSomaticHotspot	likelihoodType	reportGermlineVariant	reportGermlineHotspot	reportGermlineDisruption	reportGermlineDeletion	additionalReportedTranscripts	reportPGX
IL6ST	true	false	false	true	true	true	true	ONCO	NONE	NONE	NONE	NONE		false
IL7R	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
IMMP2L	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
IRF2	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
IRS2	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
ITGA9	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
ITGAV	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
JAK1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
JAK2	true	false	false	true	true	true	true	ONCO	NONE	NONE	NONE	NONE		false
JAK3	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
JMJD4	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
KANSL1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
KCNJ5	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
KDM5C	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
KDM6A	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
KDR	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
KEAP1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
KIT	true	false	false	false	false	true	true	ONCO	NONE	VARIANT_NOT_LOST	NONE	NONE		false
KLF4	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
KLF5	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
KMT2A	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
KMT2B	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
KMT2C	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
KMT2D	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
KRAS	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
KRT5	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
KRTAP5-5	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
LATS2	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
LINC00290	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
LINC01001	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
LMBRD2	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
LRP1B	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
LRRN3	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
LSAMP	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
LZTR1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
MACROD2	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
MAP2K1	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
MAP2K2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
MAP2K4	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
MAP2K7	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
MAP3K1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
MAP3K13	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
MAP3K21	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
MAX	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
MCL1	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
MDM2	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
MDM4	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
MECOM	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
MED12	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
MEGF6	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
MEN1	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
MET	true	false	true	false	false	true	true	ONCO	NONE	VARIANT_NOT_LOST	NONE	NONE		false
MGA	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
MGMT	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
MIPOL1	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
MITF	true	false	false	false	false	true	true	ONCO	NONE	VARIANT_NOT_LOST	NONE	NONE		false
MLH1	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
MPL	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
MRE11	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
MSH2	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
MSH6	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
MST1R	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
MTHFR	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
MTOR	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
MUTYH	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
MYC	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
MYCL	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
MYCN	false	false	false	false	false	true	false	ONCO	NONE	NONE	NONE	NONE		false
MYD88	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
MYOD1	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
NAALADL2	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
NBN	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
NCOA2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
NCOR1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
NEGR1	false	false	false	true	false	false	false	TSG	NONE	NONE	NONE	NONE		false
NF1	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
NF2	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
NFE2L2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
NFKBIE	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
NIPBL	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
NOTCH1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
NOTCH2	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
NPM1	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
NRAS	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
NRG1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
NSD1	true	true	true	true	true	false	true	TSG	NONE	NONE	NONE	NONE		false
NT5C2	true	false	false	false	false	true	true	ONCO	NONE	NONE	NONE	NONE		false
NTHL1	true	true	true	true	true	false	true	TSG	VARIANT_NOT_LOST	VARIANT_NOT_LOST	VARIANT_NOT_LOST	WILDTYPE_LOST		false
