Gene_symbol	Ensembl_ID	hgnc_id
SHOC2	ENSG00000108061	HGNC:15454
SIX1	ENSG00000126778	HGNC:10887
SLC34A2	ENSG00000157765	HGNC:11020
SLC45A3	ENSG00000158715	HGNC:8642
SMAD2	ENSG00000175387	HGNC:6768
SMAD3	ENSG00000166949	HGNC:6769
SMAD4	ENSG00000141646	HGNC:6770
SMARCA1	ENSG00000102038	HGNC:11097
SMARCA2	ENSG00000080503	HGNC:11098
SMARCA4	ENSG00000127616	HGNC:11100
SMARCB1	ENSG00000099956	HGNC:11103
SMARCD1	ENSG00000066117	HGNC:11106
SMARCE1	ENSG00000073584	HGNC:11109
SMC1A	ENSG00000269384	HGNC:11111
SMO	ENSG00000128602	HGNC:11119
SND1	ENSG00000197157	HGNC:30646
SNX29	ENSG00000048471	HGNC:30542
SOCS1	ENSG00000185338	HGNC:19383
SOS1	ENSG00000115904	HGNC:11187
SOX17	ENSG00000164736	HGNC:18122
SOX2	ENSG00000181449	HGNC:11195
SOX9	ENSG00000125398	HGNC:11204
SPEN	ENSG00000065526	HGNC:17575
SPOP	ENSG00000121067	HGNC:11254
SPRED1	ENSG00000166068	HGNC:20249
SRC	ENSG00000197122	HGNC:11283
SRGAP3	ENSG00000196220	HGNC:19744
SRSF2	ENSG00000161547	HGNC:10783
SRSF3	ENSG00000112081	HGNC:10785
SS18	ENSG00000141380	HGNC:11340
SS18L1	ENSG00000184402	HGNC:15592
SSX1	ENSG00000268546	HGNC:11335
