gene	reportMissense	reportNonsense	reportSplice	reportDeletion	reportDisruption	reportAmplification	reportSomaticHotspot	likelihoodType	reportGermlineVariant	reportGermlineHotspot	reportGermlineDisruption	reportGermlineDeletion	additionalReportedTranscripts	reportPGX
GTF2I	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
H1-2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
H1-3	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
H1-4	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
H1-5	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
H2BC5	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
H3-3A	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
H3-3B	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
H3-5	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
H3C2	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
HERPUD1	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
HEY1	true	true	true	true	true	true	true	ONCO	ANY	ANY	ANY	ANY		false
HFE	true	true	true	true	true	true	true	TSG	ANY	ANY	ANY	ANY		false
