symbol	oncogene	tsgene	hgnc_id
ATP6V1B2	FALSE	FALSE	HGNC:854
ATP6V1G2	FALSE	FALSE	HGNC:862
ATP8B1	FALSE	FALSE	HGNC:3706
ATP8B2	FALSE	FALSE	HGNC:13534
ATR	FALSE	TRUE	HGNC:882
ATRX	FALSE	TRUE	HGNC:886
ATXN1	FALSE	FALSE	HGNC:10548
ATXN3	FALSE	FALSE	HGNC:7106
ATXN3L	FALSE	FALSE	HGNC:24173
AURKA	FALSE	FALSE	HGNC:11393
AVL9	FALSE	FALSE	HGNC:28994
AXIN1	FALSE	TRUE	HGNC:903
AXIN2	FALSE	TRUE	HGNC:904
AZGP1	FALSE	FALSE	HGNC:910
AZI2	FALSE	FALSE	HGNC:24002
AZIN1	FALSE	FALSE	HGNC:16432
B2M	FALSE	TRUE	HGNC:914
B3GALT6	FALSE	FALSE	HGNC:17978
B3GLCT	FALSE	FALSE	HGNC:20207
B4GALT3	FALSE	FALSE	HGNC:926
BABAM1	FALSE	FALSE	HGNC:25008
BABAM2	FALSE	FALSE	HGNC:1106
BACH2	FALSE	FALSE	HGNC:14078
BAG4	FALSE	FALSE	HGNC:940
BAGE2	FALSE	FALSE	HGNC:15723
BANF2	FALSE	FALSE	HGNC:16172
BAP1	FALSE	TRUE	HGNC:950
BARD1	FALSE	TRUE	HGNC:952
BAX	FALSE	TRUE	HGNC:959
BAZ1A	FALSE	TRUE	HGNC:960
BAZ2A	FALSE	FALSE	HGNC:962
BAZ2B	FALSE	FALSE	HGNC:963
BBX	FALSE	FALSE	HGNC:14422
BCL10	FALSE	TRUE	HGNC:989
BCL11A	TRUE	FALSE	HGNC:13221
BCL11B	TRUE	TRUE	HGNC:13222
BCL2	TRUE	FALSE	HGNC:990
BCL2L10	FALSE	FALSE	HGNC:993
BCL2L11	FALSE	FALSE	HGNC:994
BCL2L12	TRUE	FALSE	HGNC:13787
BCL3	TRUE	FALSE	HGNC:998
BCL6	TRUE	FALSE	HGNC:1001
BCL7A	FALSE	FALSE	HGNC:1004
BCL9	TRUE	FALSE	HGNC:1008
BCL9L	TRUE	TRUE	HGNC:23688
BCLAF1	FALSE	FALSE	HGNC:16863
BCOR	FALSE	TRUE	HGNC:20893
BCORL1	TRUE	TRUE	HGNC:25657
BCR	FALSE	FALSE	HGNC:1014
BHLHE41	FALSE	FALSE	HGNC:16617
BHMT2	FALSE	FALSE	HGNC:1048
BICRA	FALSE	FALSE	HGNC:4332
BIRC3	TRUE	TRUE	HGNC:591
BIRC6	TRUE	FALSE	HGNC:13516
BLCAP	FALSE	FALSE	HGNC:1055
BLK	FALSE	FALSE	HGNC:1057
BLM	FALSE	TRUE	HGNC:1058
BMP5	FALSE	FALSE	HGNC:1072
BMP7	FALSE	FALSE	HGNC:1074
BMPR1A	TRUE	TRUE	HGNC:1076
BMPR2	FALSE	FALSE	HGNC:1078
BNC2	FALSE	FALSE	HGNC:30988
BOC	FALSE	FALSE	HGNC:17173
BOD1	FALSE	FALSE	HGNC:25114
BOK	FALSE	FALSE	HGNC:1087
BORA	FALSE	FALSE	HGNC:24724
BPIFB1	FALSE	FALSE	HGNC:16108
BPTF	FALSE	FALSE	HGNC:3581
BRAF	TRUE	FALSE	HGNC:1097
BRCA1	FALSE	TRUE	HGNC:1100
BRCA2	FALSE	TRUE	HGNC:1101
BRCC3	FALSE	FALSE	HGNC:24185
BRD3	TRUE	FALSE	HGNC:1104
BRD4	TRUE	FALSE	HGNC:13575
BRD7	FALSE	FALSE	HGNC:14310
BRD8	FALSE	FALSE	HGNC:19874
BRDT	FALSE	FALSE	HGNC:1105
BRINP3	FALSE	FALSE	HGNC:22393
