ensembl_gene_id	symbol	hgnc_id
ENSG00000116731	PRDM2	HGNC:9347
ENSG00000046889	PREX2	HGNC:22950
ENSG00000180644	PRF1	HGNC:9360
ENSG00000072062	PRKACA	HGNC:9380
ENSG00000108946	PRKAR1A	HGNC:9388
ENSG00000166501	PRKCB	HGNC:9395
ENSG00000110844	PRPF40B	HGNC:25031
ENSG00000116132	PRRX1	HGNC:9142
ENSG00000164985	PSIP1	HGNC:9527
ENSG00000185920	PTCH1	HGNC:9585
ENSG00000171862	PTEN	HGNC:9588
ENSG00000101213	PTK6	HGNC:9617
ENSG00000179295	PTPN11	HGNC:9644
ENSG00000163629	PTPN13	HGNC:9646
ENSG00000111679	PTPN6	HGNC:9658
ENSG00000127329	PTPRB	HGNC:9665
ENSG00000081237	PTPRC	HGNC:9666
ENSG00000153707	PTPRD	HGNC:9668
ENSG00000152894	PTPRK	HGNC:9674
ENSG00000196090	PTPRT	HGNC:9682
ENSG00000170234	PWWP2A	HGNC:29406
ENSG00000112531	QKI	HGNC:21100
ENSG00000029725	RABEP1	HGNC:17677
ENSG00000136238	RAC1	HGNC:9801
ENSG00000152942	RAD17	HGNC:9807
ENSG00000164754	RAD21	HGNC:9811
ENSG00000182185	RAD51B	HGNC:9822
ENSG00000132155	RAF1	HGNC:9829
ENSG00000160271	RALGDS	HGNC:9842
ENSG00000153201	RANBP2	HGNC:9848
ENSG00000138698	RAP1GDS1	HGNC:9859
ENSG00000131759	RARA	HGNC:9864
ENSG00000139687	RB1	HGNC:9884
ENSG00000182872	RBM10	HGNC:9896
ENSG00000162775	RBM15	HGNC:14959
ENSG00000160957	RECQL4	HGNC:9949
ENSG00000162924	REL	HGNC:9954
ENSG00000165731	RET	HGNC:9967
ENSG00000168411	RFWD3	HGNC:25539
ENSG00000153165	RGPD3	HGNC:32416
ENSG00000182901	RGS7	HGNC:10003
ENSG00000067560	RHOA	HGNC:667
ENSG00000168421	RHOH	HGNC:686
ENSG00000175643	RMI2	HGNC:28349
ENSG00000173821	RNF213	HGNC:14539
ENSG00000108375	RNF43	HGNC:18505
ENSG00000185008	ROBO2	HGNC:10250
ENSG00000047936	ROS1	HGNC:10261
ENSG00000147403	RPL10	HGNC:10298
ENSG00000116251	RPL22	HGNC:10315
ENSG00000122406	RPL5	HGNC:10360
ENSG00000163902	RPN1	HGNC:10381
ENSG00000147655	RSPO2	HGNC:28583
ENSG00000146374	RSPO3	HGNC:20866
ENSG00000159216	RUNX1	HGNC:10471
ENSG00000079102	RUNX1T1	HGNC:1535
ENSG00000143556	S100A7	HGNC:10497
ENSG00000101115	SALL4	HGNC:15924
ENSG00000126524	SBDS	HGNC:19440
ENSG00000124145	SDC4	HGNC:10661
ENSG00000073578	SDHA	HGNC:10680
ENSG00000167985	SDHAF2	HGNC:26034
ENSG00000117118	SDHB	HGNC:10681
ENSG00000143252	SDHC	HGNC:10682
ENSG00000204370	SDHD	HGNC:10683
ENSG00000184702	SEPT5	HGNC:9164
ENSG00000125354	SEPT6	HGNC:15848
ENSG00000184640	SEPT9	HGNC:7323
ENSG00000119335	SET	HGNC:10760
ENSG00000152217	SETBP1	HGNC:15573
ENSG00000139718	SETD1B	HGNC:29187
ENSG00000181555	SETD2	HGNC:18420
ENSG00000143379	SETDB1	HGNC:10761
ENSG00000115524	SF3B1	HGNC:10768
ENSG00000116560	SFPQ	HGNC:10774
ENSG00000106483	SFRP4	HGNC:10778
ENSG00000118515	SGK1	HGNC:10810
ENSG00000111252	SH2B3	HGNC:29605
ENSG00000141985	SH3GL1	HGNC:10830
ENSG00000198053	SIRPA	HGNC:9662
ENSG00000126778	SIX1	HGNC:10887
ENSG00000170577	SIX2	HGNC:10888
ENSG00000157933	SKI	HGNC:10896
ENSG00000157765	SLC34A2	HGNC:11020
ENSG00000158715	SLC45A3	HGNC:8642
ENSG00000175387	SMAD2	HGNC:6768
ENSG00000166949	SMAD3	HGNC:6769
ENSG00000141646	SMAD4	HGNC:6770
ENSG00000127616	SMARCA4	HGNC:11100
ENSG00000099956	SMARCB1	HGNC:11103
ENSG00000066117	SMARCD1	HGNC:11106
ENSG00000073584	SMARCE1	HGNC:11109
ENSG00000072501	SMC1A	HGNC:11111
ENSG00000128602	SMO	HGNC:11119
ENSG00000197157	SND1	HGNC:30646
ENSG00000185338	SOCS1	HGNC:19383
ENSG00000181449	SOX2	HGNC:11195
ENSG00000125285	SOX21	HGNC:11197
ENSG00000128487	SPECC1	HGNC:30615
